date,cot_noncomm_net,cot_noncomm_net_pct_oi,cot_comm_net,cot_comm_net_pct_oi,cot_noncomm_net_change_1w,cot_noncomm_net_ma_4w,cot_noncomm_trader_count
2015-05-05,72440,0.18110543316299488,-74162,-0.1854105623168695,-28817.0,93334.75,223
2015-05-12,77440,0.1909213731349171,-77502,-0.19107422857311915,5000.0,88095.5,234
2015-05-19,122621,0.28609859611709837,-132334,-0.3087609105990009,45181.0,93439.5,231
2015-05-26,104694,0.25413570702081023,-109720,-0.26633589101881006,-17927.0,94298.75,222
2015-06-02,104410,0.26186033446694956,-108150,-0.27124025641797334,-284.0,102291.25,224
2015-06-09,75090,0.1849193117425856,-78589,-0.193536073918472,-29320.0,101703.75,231
2015-06-16,75723,0.1821499189354322,-76637,-0.18434852472108496,633.0,89979.25,226
2015-06-23,95114,0.22069339966309184,-100888,-0.23409083526305288,19391.0,87584.25,236
2015-06-30,67155,0.1518309929211103,-74769,-0.16904551425386785,-27959.0,78270.5,228
2015-07-07,50448,0.11157482665958929,-52589,-0.11631003328578221,-16707.0,72110.0,243
2015-07-14,47824,0.10336659000916432,-48469,-0.10476069026334446,-2624.0,65135.25,239
2015-07-21,28279,0.06150817817991996,-21584,-0.04694623281712198,-19545.0,48426.5,272
2015-07-28,24465,0.05582022533437376,-15266,-0.03483145554688534,-3814.0,37754.0,248
2015-08-04,29900,0.06885069990535907,-14820,-0.0341259990835258,5435.0,32617.0,253
2015-08-11,32442,0.07449556705221028,-24458,-0.056162153349453146,2542.0,28771.5,261
2015-08-18,41659,0.09627063651993863,-29948,-0.06920744671017359,9217.0,32116.5,262
2015-08-25,70733,0.163675449029744,-62636,-0.14493907264539957,29074.0,43683.5,255
2015-09-01,72685,0.17716209167531943,-69088,-0.16839478007380435,1952.0,54379.75,230
